distribution,x,pdf
"Beta(2,2)",0.41400000000000003,1.4556239770293007
"Beta(2,2)",0.41500000000000004,1.4566499770131098
"Beta(2,2)",0.41600000000000004,1.4576639769971085
"Beta(2,2)",0.417,1.458665976981296
"Beta(2,2)",0.418,1.4596559769656734
"Beta(2,2)",0.419,1.4606339769502394
"Beta(2,2)",0.42,1.4615999769349959
"Beta(2,2)",0.421,1.462553976919941
"Beta(2,2)",0.422,1.4634959769050757
"Beta(2,2)",0.423,1.4644259768903993
"Beta(2,2)",0.424,1.4653439768759133
"Beta(2,2)",0.425,1.4662499768616155
"Beta(2,2)",0.426,1.4671439768475076
"Beta(2,2)",0.427,1.4680259768335888
"Beta(2,2)",0.428,1.4688959768198602
"Beta(2,2)",0.429,1.4697539768063201
"Beta(2,2)",0.43,1.47059997679297
"Beta(2,2)",0.431,1.4714339767798088
"Beta(2,2)",0.432,1.4722559767668373
"Beta(2,2)",0.433,1.4730659767540546
"Beta(2,2)",0.434,1.4738639767414619
"Beta(2,2)",0.435,1.4746499767290584
"Beta(2,2)",0.436,1.475423976716844
"Beta(2,2)",0.437,1.476185976704819
"Beta(2,2)",0.438,1.4769359766929835
"Beta(2,2)",0.439,1.4776739766813372
"Beta(2,2)",0.44,1.4783999766698808
"Beta(2,2)",0.441,1.4791139766586134
"Beta(2,2)",0.442,1.4798159766475354
"Beta(2,2)",0.443,1.4805059766366464
"Beta(2,2)",0.444,1.4811839766259471
"Beta(2,2)",0.445,1.4818499766154374
"Beta(2,2)",0.446,1.4825039766051171
"Beta(2,2)",0.447,1.4831459765949855
"Beta(2,2)",0.448,1.4837759765850442
"Beta(2,2)",0.449,1.4843939765752914
"Beta(2,2)",0.45,1.4849999765657287
"Beta(2,2)",0.451,1.4855939765563546
"Beta(2,2)",0.452,1.4861759765471705
"Beta(2,2)",0.453,1.4867459765381752
"Beta(2,2)",0.454,1.4873039765293699
"Beta(2,2)",0.455,1.4878499765207536
"Beta(2,2)",0.456,1.4883839765123268
"Beta(2,2)",0.457,1.488905976504089
"Beta(2,2)",0.458,1.4894159764960413
"Beta(2,2)",0.459,1.489913976488182
"Beta(2,2)",0.46,1.4903999764805131
"Beta(2,2)",0.461,1.490873976473033
"Beta(2,2)",0.462,1.4913359764657423
"Beta(2,2)",0.463,1.4917859764586408
"Beta(2,2)",0.464,1.4922239764517289
"Beta(2,2)",0.465,1.492649976445006
"Beta(2,2)",0.466,1.4930639764384734
"Beta(2,2)",0.467,1.4934659764321292
"Beta(2,2)",0.468,1.4938559764259751
"Beta(2,2)",0.46900000000000003,1.4942339764200097
"Beta(2,2)",0.47000000000000003,1.4945999764142341
"Beta(2,2)",0.47100000000000003,1.4949539764086477
"Beta(2,2)",0.47200000000000003,1.4952959764032507
"Beta(2,2)",0.47300000000000003,1.4956259763980428
"Beta(2,2)",0.47400000000000003,1.4959439763930253
"Beta(2,2)",0.47500000000000003,1.496249976388196
"Beta(2,2)",0.47600000000000003,1.4965439763835569
"Beta(2,2)",0.47700000000000004,1.496825976379106
"Beta(2,2)",0.47800000000000004,1.497095976374846
"Beta(2,2)",0.47900000000000004,1.4973539763707737
"Beta(2,2)",0.48,1.4975999763668921
"Beta(2,2)",0.481,1.4978339763631994
"Beta(2,2)",0.482,1.4980559763596963
"Beta(2,2)",0.483,1.4982659763563824
"Beta(2,2)",0.484,1.4984639763532577
"Beta(2,2)",0.485,1.4986499763503225
"Beta(2,2)",0.486,1.4988239763475768
"Beta(2,2)",0.487,1.4989859763450202
"Beta(2,2)",0.488,1.4991359763426528
"Beta(2,2)",0.489,1.4992739763404752
"Beta(2,2)",0.49,1.4993999763384867
"Beta(2,2)",0.491,1.499513976336688
"Beta(2,2)",0.492,1.4996159763350783
"Beta(2,2)",0.493,1.4997059763336582
"Beta(2,2)",0.494,1.4997839763324274
"Beta(2,2)",0.495,1.4998499763313855
"Beta(2,2)",0.496,1.4999039763305337
"Beta(2,2)",0.497,1.4999459763298708
"Beta(2,2)",0.498,1.4999759763293974
"Beta(2,2)",0.499,1.4999939763291132
"Beta(2,2)",0.5,1.4999999763290186
"Beta(2,2)",0.501,1.4999939763291132
"Beta(2,2)",0.502,1.4999759763293974
"Beta(2,2)",0.503,1.4999459763298708
"Beta(2,2)",0.504,1.4999039763305337
"Beta(2,2)",0.505,1.4998499763313855
"Beta(2,2)",0.506,1.4997839763324274
"Beta(2,2)",0.507,1.4997059763336582
"Beta(2,2)",0.508,1.4996159763350783
"Beta(2,2)",0.509,1.499513976336688
"Beta(2,2)",0.51,1.4993999763384867
"Beta(2,2)",0.511,1.4992739763404752
"Beta(2,2)",0.512,1.4991359763426528
"Beta(2,2)",0.513,1.4989859763450202
"Beta(2,2)",0.514,1.4988239763475768
"Beta(2,2)",0.515,1.4986499763503225
"Beta(2,2)",0.516,1.4984639763532577
"Beta(2,2)",0.517,1.4982659763563824
"Beta(2,2)",0.518,1.4980559763596963
"Beta(2,2)",0.519,1.4978339763631994
"Beta(2,2)",0.52,1.4975999763668921
"Beta(2,2)",0.521,1.4973539763707742
"Beta(2,2)",0.522,1.4970959763748455
"Beta(2,2)",0.523,1.4968259763791063
"Beta(2,2)",0.524,1.4965439763835566
"Beta(2,2)",0.525,1.496249976388196
"Beta(2,2)",0.526,1.495943976393025
"Beta(2,2)",0.527,1.4956259763980433
"Beta(2,2)",0.528,1.4952959764032507
"Beta(2,2)",0.529,1.4949539764086477
"Beta(2,2)",0.53,1.4945999764142341
"Beta(2,2)",0.531,1.4942339764200097
"Beta(2,2)",0.532,1.4938559764259751
"Beta(2,2)",0.533,1.4934659764321292
"Beta(2,2)",0.534,1.493063976438473
"Beta(2,2)",0.535,1.4926499764450065
"Beta(2,2)",0.536,1.4922239764517289
"Beta(2,2)",0.537,1.4917859764586408
"Beta(2,2)",0.538,1.491335976465742
"Beta(2,2)",0.539,1.490873976473033
"Beta(2,2)",0.54,1.490399976480513
"Beta(2,2)",0.541,1.4899139764881824
"Beta(2,2)",0.542,1.489415976496041
"Beta(2,2)",0.543,1.488905976504089
"Beta(2,2)",0.544,1.4883839765123268
"Beta(2,2)",0.545,1.4878499765207538
"Beta(2,2)",0.546,1.4873039765293699
"Beta(2,2)",0.547,1.4867459765381754
"Beta(2,2)",0.548,1.4861759765471703
"Beta(2,2)",0.549,1.4855939765563548
"Beta(2,2)",0.55,1.4849999765657282
"Beta(2,2)",0.551,1.4843939765752914
"Beta(2,2)",0.552,1.4837759765850438
"Beta(2,2)",0.553,1.483145976594986
"Beta(2,2)",0.554,1.4825039766051167
"Beta(2,2)",0.555,1.4818499766154374
"Beta(2,2)",0.556,1.4811839766259471
"Beta(2,2)",0.557,1.4805059766366468
"Beta(2,2)",0.558,1.4798159766475354
"Beta(2,2)",0.559,1.4791139766586134
"Beta(2,2)",0.56,1.4783999766698805
"Beta(2,2)",0.561,1.4776739766813372
"Beta(2,2)",0.562,1.4769359766929835
"Beta(2,2)",0.5630000000000001,1.476185976704819
"Beta(2,2)",0.5640000000000001,1.4754239767168438
