estimator,quantile,n,distribution,efficiency
HD,0.02,20,"Beta(2,10)",1.2419295279104803
HD,0.02,20,"Normal(0,1^2)",1.0611356714457005
HD,0.02,20,"Weibull(1,2)",1.223464142040224
HD,0.02,20,"Exp(1)",1.3382288031787373
HD,0.02,20,"Cauchy(0,1)",0.4985547118618871
HD,0.02,20,"Pareto(1,0.5)",1.358691370125719
HD,0.02,20,"LogNormal(0,3^2)",1.4921357223974503
HD,0.02,20,"Weibull(1,0.5)",1.506049638768691
HD,0.02,20,"Exp(1) + Outliers",1.3339488648385744
HD,0.03,2,"Uniform(0,1)",1.0238235038370278
HD,0.03,2,"Beta(2,10)",1.0333352479784674
HD,0.03,2,"Normal(0,1^2)",1.0218657672176337
HD,0.03,2,"Weibull(1,2)",1.0292035987055004
HD,0.03,2,"Exp(1)",1.0493561586226177
HD,0.03,2,"Cauchy(0,1)",0.9650454383918478
HD,0.03,2,"Pareto(1,0.5)",16.789145355481967
HD,0.03,2,"LogNormal(0,3^2)",4.010968497042278
HD,0.03,2,"Weibull(1,0.5)",1.094254591166996
HD,0.03,2,"Exp(1) + Outliers",1.5365947482781772
HD,0.03,3,"Uniform(0,1)",1.0457738180658762
HD,0.03,3,"Beta(2,10)",1.052352573979234
HD,0.03,3,"Normal(0,1^2)",1.0326423269324534
HD,0.03,3,"Weibull(1,2)",1.0455413593703422
HD,0.03,3,"Exp(1)",1.0703649872684389
HD,0.03,3,"Cauchy(0,1)",0.9168497910855727
HD,0.03,3,"Pareto(1,0.5)",0.03202435912977032
HD,0.03,3,"LogNormal(0,3^2)",1.3554275051553304
HD,0.03,3,"Weibull(1,0.5)",1.1278514021681691
HD,0.03,3,"Exp(1) + Outliers",11.699940040070532
HD,0.03,4,"Uniform(0,1)",1.0683256782018258
HD,0.03,4,"Beta(2,10)",1.07060315776214
HD,0.03,4,"Normal(0,1^2)",1.0452039218854754
HD,0.03,4,"Weibull(1,2)",1.0631053734852483
HD,0.03,4,"Exp(1)",1.0942862689748656
HD,0.03,4,"Cauchy(0,1)",0.8739554969603465
HD,0.03,4,"Pareto(1,0.5)",0.04104272930377019
HD,0.03,4,"LogNormal(0,3^2)",1.277545225777463
HD,0.03,4,"Weibull(1,0.5)",1.1667362590440107
HD,0.03,4,"Exp(1) + Outliers",0.15117161286364633
HD,0.03,5,"Uniform(0,1)",1.0937364115712007
HD,0.03,5,"Beta(2,10)",1.0901333997918192
HD,0.03,5,"Normal(0,1^2)",1.0527251513669926
HD,0.03,5,"Weibull(1,2)",1.0781040579946672
HD,0.03,5,"Exp(1)",1.1152959362459152
HD,0.03,5,"Cauchy(0,1)",0.8318292838947354
HD,0.03,5,"Pareto(1,0.5)",0.25477975958448634
HD,0.03,5,"LogNormal(0,3^2)",1.3234415678913125
HD,0.03,5,"Weibull(1,0.5)",1.2161881185847847
HD,0.03,5,"Exp(1) + Outliers",0.5985945440729957
HD,0.03,6,"Uniform(0,1)",1.1195180963752023
