distribution,x,pdf
"Beta(2,10)",0.376,0.5932555826693738
"Beta(2,10)",0.377,0.5863088528666164
"Beta(2,10)",0.378,0.5794259529552573
"Beta(2,10)",0.379,0.572606525782781
"Beta(2,10)",0.38,0.5658502130609943
"Beta(2,10)",0.381,0.5591566554263296
"Beta(2,10)",0.382,0.5525254924992674
"Beta(2,10)",0.383,0.545956362942881
"Beta(2,10)",0.384,0.5394489045205278
"Beta(2,10)",0.385,0.5330027541526734
"Beta(2,10)",0.386,0.526617547972876
"Beta(2,10)",0.387,0.5202929213829269
"Beta(2,10)",0.388,0.5140285091071627
"Beta(2,10)",0.389,0.5078239452459488
"Beta(2,10)",0.39,0.5016788633283522
"Beta(2,10)",0.391,0.49559289636400067
"Beta(2,10)",0.392,0.4895656768941464
"Beta(2,10)",0.393,0.4835968370419345
"Beta(2,10)",0.394,0.4776860085618844
"Beta(2,10)",0.395,0.4718328228885988
"Beta(2,10)",0.396,0.4660369111846974
"Beta(2,10)",0.397,0.4602979043879917
"Beta(2,10)",0.398,0.45461543325790266
"Beta(2,10)",0.399,0.44898912842113037
"Beta(2,10)",0.4,0.44341862041658775
"Beta(2,10)",0.401,0.4379035397395952
"Beta(2,10)",0.402,0.4324435168853536
"Beta(2,10)",0.403,0.42703818239169683
"Beta(2,10)",0.404,0.42168716688113533
"Beta(2,10)",0.405,0.4163901011021922
"Beta(2,10)",0.406,0.4111466159700437
"Beta(2,10)",0.40700000000000003,0.4059563426064702
"Beta(2,10)",0.40800000000000003,0.40081891237912437
"Beta(2,10)",0.40900000000000003,0.3957339569401192
"Beta(2,10)",0.41000000000000003,0.39070110826395277
"Beta(2,10)",0.41100000000000003,0.38571999868476564
"Beta(2,10)",0.41200000000000003,0.3807902609329435
"Beta(2,10)",0.41300000000000003,0.37591152817107193
"Beta(2,10)",0.41400000000000003,0.37108343402925037
"Beta(2,10)",0.41500000000000004,0.3663056126397639
"Beta(2,10)",0.41600000000000004,0.3615776986711352
"Beta(2,10)",0.417,0.35689932736154356
"Beta(2,10)",0.418,0.3522701345516398
"Beta(2,10)",0.419,0.3476897567167395
"Beta(2,10)",0.42,0.3431578309984244
"Beta(2,10)",0.421,0.3386739952355344
"Beta(2,10)",0.422,0.3342378879945855
"Beta(2,10)",0.423,0.3298491485995836
"Beta(2,10)",0.424,0.32550741716128334
"Beta(2,10)",0.425,0.32121233460584925
"Beta(2,10)",0.426,0.3169635427029802
"Beta(2,10)",0.427,0.312760684093446
"Beta(2,10)",0.428,0.3086034023160943
"Beta(2,10)",0.429,0.3044913418342916
"Beta(2,10)",0.43,0.3004241480618397
"Beta(2,10)",0.431,0.29640146738833995
"Beta(2,10)",0.432,0.29242294720404477
"Beta(2,10)",0.433,0.28848823592416983
"Beta(2,10)",0.434,0.2845969830127018
"Beta(2,10)",0.435,0.2807488390056822
"Beta(2,10)",0.436,0.2769434555339973
"Beta(2,10)",0.437,0.27318048534565337
"Beta(2,10)",0.438,0.2694595823275741
"Beta(2,10)",0.439,0.26578040152688776
"Beta(2,10)",0.44,0.26214259917175226
"Beta(2,10)",0.441,0.2585458326916834
"Beta(2,10)",0.442,0.25498976073742463
"Beta(2,10)",0.443,0.25147404320033784
"Beta(2,10)",0.444,0.24799834123134312
"Beta(2,10)",0.445,0.24456231725939082
"Beta(2,10)",0.446,0.24116563500949337
"Beta(2,10)",0.447,0.2378079595203004
"Beta(2,10)",0.448,0.23448895716124538
"Beta(2,10)",0.449,0.23120829564924078
"Beta(2,10)",0.45,0.2279656440649611
"Beta(2,10)",0.451,0.22476067286868456
"Beta(2,10)",0.452,0.22159305391572726
"Beta(2,10)",0.453,0.2184624604714507
"Beta(2,10)",0.454,0.21536856722587125
"Beta(2,10)",0.455,0.21231105030785277
"Beta(2,10)",0.456,0.2092895872989102
"Beta(2,10)",0.457,0.20630385724660724
"Beta(2,10)",0.458,0.20335354067757364
"Beta(2,10)",0.459,0.2004383196101272
"Beta(2,10)",0.46,0.1975578775665249
"Beta(2,10)",0.461,0.19471189958482804
"Beta(2,10)",0.462,0.19190007223040562
"Beta(2,10)",0.463,0.18912208360706162
"Beta(2,10)",0.464,0.1863776233678106
"Beta(2,10)",0.465,0.18366638272528366
"Beta(2,10)",0.466,0.18098805446179528
"Beta(2,10)",0.467,0.17834233293904775
"Beta(2,10)",0.468,0.17572891410750535
"Beta(2,10)",0.46900000000000003,0.17314749551541697
"Beta(2,10)",0.47000000000000003,0.17059777631751347
"Beta(2,10)",0.47100000000000003,0.16807945728336715
"Beta(2,10)",0.47200000000000003,0.1655922408054313
"Beta(2,10)",0.47300000000000003,0.1631358309067515
"Beta(2,10)",0.47400000000000003,0.16070993324836633
"Beta(2,10)",0.47500000000000003,0.1583142551363864
"Beta(2,10)",0.47600000000000003,0.15594850552877296
"Beta(2,10)",0.47700000000000004,0.1536123950418041
"Beta(2,10)",0.47800000000000004,0.1513056359562463
"Beta(2,10)",0.47900000000000004,0.1490279422232225
"Beta(2,10)",0.48,0.14677902946979599
"Beta(2,10)",0.481,0.14455861500425524
"Beta(2,10)",0.482,0.14236641782112516
"Beta(2,10)",0.483,0.1402021586058891
"Beta(2,10)",0.484,0.1380655597394388
"Beta(2,10)",0.485,0.1359563453022492
"Beta(2,10)",0.486,0.1338742410782868
"Beta(2,10)",0.487,0.13181897455864938
"Beta(2,10)",0.488,0.12979027494494857
"Beta(2,10)",0.489,0.12778787315243154
"Beta(2,10)",0.49,0.125811501812851
"Beta(2,10)",0.491,0.12386089527708424
"Beta(2,10)",0.492,0.12193578961750598
"Beta(2,10)",0.493,0.12003592263011857
"Beta(2,10)",0.494,0.11816103383644377
"Beta(2,10)",0.495,0.11631086448517748
"Beta(2,10)",0.496,0.11448515755361414
"Beta(2,10)",0.497,0.11268365774884186
"Beta(2,10)",0.498,0.11090611150871259
"Beta(2,10)",0.499,0.10915226700259176
"Beta(2,10)",0.5,0.10742187413188839
"Beta(2,10)",0.501,0.10571468453037203
"Beta(2,10)",0.502,0.10403045156427718
"Beta(2,10)",0.503,0.1023689303322013
"Beta(2,10)",0.504,0.10072987766479663
"Beta(2,10)",0.505,0.09911305212426177
"Beta(2,10)",0.506,0.09751821400363467
"Beta(2,10)",0.507,0.09594512532589138
"Beta(2,10)",0.508,0.09439354984285224
"Beta(2,10)",0.509,0.0928632530339003
"Beta(2,10)",0.51,0.09135400210451432
"Beta(2,10)",0.511,0.08986556598461935
"Beta(2,10)",0.512,0.08839771532675796
"Beta(2,10)",0.513,0.08695022250408597
"Beta(2,10)",0.514,0.0855228616081942
"Beta(2,10)",0.515,0.08411540844676112
"Beta(2,10)",0.516,0.08272764054103803
"Beta(2,10)",0.517,0.0813593371231688
"Beta(2,10)",0.518,0.08001027913335064
