probs,eff,estimator,n,distribution
0.62,65.3555290783613,median,30,Cauchy
0.64,68.7124898039293,median,30,Cauchy
0.66,72.6550269185235,median,30,Cauchy
0.68,77.4276147944909,median,30,Cauchy
0.7,82.9494048872509,median,30,Cauchy
0.72,89.3229656705455,median,30,Cauchy
0.74,96.7899945021406,median,30,Cauchy
0.76,106.166538828066,median,30,Cauchy
0.78,116.95293885697,median,30,Cauchy
0.8,131.191411761811,median,30,Cauchy
0.82,150.313005758803,median,30,Cauchy
0.84,175.010283886335,median,30,Cauchy
0.86,208.06946322758,median,30,Cauchy
0.88,256.823507537453,median,30,Cauchy
0.9,334.539322126127,median,30,Cauchy
0.1,25.8000549709508,hl,30,Cauchy
0.12,26.5247053086292,hl,30,Cauchy
0.14,26.8273120580874,hl,30,Cauchy
0.16,27.4065161873775,hl,30,Cauchy
0.18,27.7682112062663,hl,30,Cauchy
0.2,27.9992660484573,hl,30,Cauchy
0.22,28.3680480410416,hl,30,Cauchy
0.24,28.921424304403,hl,30,Cauchy
0.26,29.1987760650825,hl,30,Cauchy
0.28,29.6582599432285,hl,30,Cauchy
0.3,30.2573828294123,hl,30,Cauchy
0.32,30.6142476671721,hl,30,Cauchy
0.34,30.968928678295,hl,30,Cauchy
0.36,31.7019920258158,hl,30,Cauchy
0.38,32.0562117017372,hl,30,Cauchy
0.4,32.6562247352992,hl,30,Cauchy
0.42,33.3889546903705,hl,30,Cauchy
0.44,34.0324264031102,hl,30,Cauchy
0.46,35.0093963643125,hl,30,Cauchy
0.48,36.1019314856707,hl,30,Cauchy
0.5,37.0149218946504,hl,30,Cauchy
0.52,38.0182135143513,hl,30,Cauchy
0.54,39.456724000427,hl,30,Cauchy
0.56,40.9847592236532,hl,30,Cauchy
0.58,42.6391602981955,hl,30,Cauchy
0.6,44.4862757922434,hl,30,Cauchy
0.62,46.6397563880057,hl,30,Cauchy
0.64,49.0818562344432,hl,30,Cauchy
0.66,51.9201467549236,hl,30,Cauchy
0.68,55.3346411061977,hl,30,Cauchy
0.7,59.1057870946024,hl,30,Cauchy
