estimator,quantile,n,distribution,efficiency
HD,0.02,33,"Normal(0,1^2)",1.0158862194371605
HD,0.02,33,"Weibull(1,2)",1.4080972991765908
HD,0.02,33,"Cauchy(0,1)",0.21993428317403918
HD,0.02,33,"Pareto(1,0.5)",1.6530285614435676
HD,0.02,33,"LogNormal(0,3^2)",1.6775085119665123
HD,0.02,33,"Exp(1) + Outliers",1.6113568825119586
HD,0.02,34,"Beta(2,10)",1.4723734426495036
HD,0.02,34,"Uniform(0,1)",1.6132356115421804
HD,0.02,34,"Normal(0,1^2)",1.017016180405881
HD,0.02,34,"Weibull(1,2)",1.400568986624842
HD,0.02,34,"Cauchy(0,1)",0.2014242117292259
HD,0.02,34,"Pareto(1,0.5)",1.6535045555712944
HD,0.02,34,"LogNormal(0,3^2)",1.6802619943283987
HD,0.02,34,"Exp(1) + Outliers",1.6650341156401527
HD,0.02,35,"Beta(2,10)",1.47123924822557
HD,0.02,35,"Uniform(0,1)",1.6664658360316864
HD,0.02,35,"Normal(0,1^2)",1.0222155197578788
HD,0.02,35,"Weibull(1,2)",1.4487021713384949
HD,0.02,35,"Cauchy(0,1)",0.18180421652016743
HD,0.02,35,"Pareto(1,0.5)",1.6772485800180839
HD,0.02,35,"LogNormal(0,3^2)",1.7267464853140853
HD,0.02,35,"Exp(1) + Outliers",1.681879205681654
HD,0.02,36,"Beta(2,10)",1.5065952449714497
HD,0.02,36,"Uniform(0,1)",1.6761054735415273
HD,0.02,36,"Normal(0,1^2)",0.9992605438662011
HD,0.02,36,"Weibull(1,2)",1.4670322081359426
HD,0.02,36,"Cauchy(0,1)",0.16665299374219592
HD,0.02,36,"Pareto(1,0.5)",1.6734842151730824
HD,0.02,36,"LogNormal(0,3^2)",1.7628842356344685
HD,0.02,36,"Exp(1) + Outliers",1.657274954130286
HD,0.02,37,"Beta(2,10)",1.518151609568826
HD,0.02,37,"Uniform(0,1)",1.6655638176525789
HD,0.02,37,"Normal(0,1^2)",1.0105623364588285
HD,0.02,37,"Weibull(1,2)",1.4883781891529864
HD,0.02,37,"Cauchy(0,1)",0.1495596960856566
HD,0.02,37,"Pareto(1,0.5)",1.7353257065513266
HD,0.02,37,"LogNormal(0,3^2)",1.7724687725489965
HD,0.02,37,"Exp(1) + Outliers",1.7308257033294974
HD,0.02,38,"Beta(2,10)",1.5180485335955822
HD,0.02,38,"Uniform(0,1)",1.7344289370720878
HD,0.02,38,"Normal(0,1^2)",1.024819936145531
HD,0.02,38,"Weibull(1,2)",1.503891688347738
HD,0.02,38,"Cauchy(0,1)",0.13094555820090834
HD,0.02,38,"Pareto(1,0.5)",1.7503054868604755
HD,0.02,38,"LogNormal(0,3^2)",1.7785904318264205
HD,0.02,38,"Exp(1) + Outliers",1.6704581966436156
HD,0.02,39,"Beta(2,10)",1.5665464418402706
HD,0.02,39,"Uniform(0,1)",1.7012865927599563
HD,0.02,39,"Normal(0,1^2)",1.031290379195717
HD,0.02,39,"Weibull(1,2)",1.5189315207376557
HD,0.02,39,"Cauchy(0,1)",0.11417270918999531
HD,0.02,39,"Pareto(1,0.5)",1.7396534305450384
HD,0.02,39,"LogNormal(0,3^2)",1.8092289252088953
HD,0.02,39,"Exp(1) + Outliers",1.7382750489479941
HD,0.02,40,"Beta(2,10)",1.5513736500266546
HD,0.02,40,"Uniform(0,1)",1.7682357856182924
HD,0.02,40,"Normal(0,1^2)",1.0663996613428453
HD,0.02,40,"Weibull(1,2)",1.5370921090475418
HD,0.02,40,"Cauchy(0,1)",0.10030262072854322
